original_term,replacement
ngancam,mengancam
rich,kaya
goalsnya,tujuannya
adaaa,ada
juklak,petunjuk pelaksanaan
dinyinyirin,disindir
pmbg,program makan bergizi gratis
insidentil,insidental
lets,ayo
reach,jangkauan
temenin,temani
minimalisir,minimalkan
gabole,tidak boleh
postingannya,unggahannya
hunting,berburu
feels,perasaan
mehong,mahal
promote,promosi
lolosin,loloskan
marugame,marugame udon
wfa,kerja dari mana saja
isone,bisanya
anjenggggg,anjing
dudu,bukan
carbonara,saus karbonara
diremehin,diremehkan
inves,investasi
deketku,dekatku
blangsak,sengsara
vision,visi
delusional,delusi
janlup,jangan lupa
hoh,hah
pade,pada
believe,percaya
election,pemilihan umum
palagi,apa lagi
pn,pengadilan negeri
alasanya,alasannya
ngisor,bawah
hehehehehe,tertawa
hahahaa,tertawa
nyawer,menyawer
walk,jalan
allahumma,ya allah
score,skor
use,guna
lead,pimpin
disuguhin,disuguhi
cpi,indeks harga konsumen
keracuanan,keracunan
ditampilin,ditampilkan
poison,racun
finger,jari
ajig,anjing
giziny,gizinya
hear,dengar
camp,kamp
hooh,iya
industry,industri
dijagain,dijagai
dlmnya,dalamnya
genuinely,sungguh
asking,tanya
gacha,undian
wkwkwkwkwkwkwk,tertawa
wn,warga negara
nyicipi,mencicipi
ntahlah,entahlah
pemrintah,pemerintah
bareskrim,badan reserse kriminal
baperan,mudah terbawa perasaan
wash,cuci
muni,bersuara
namboru,tante
anjritt,wow
nyampai,sampai
ditanganin,ditangani
dsuruh,disuruh
seriously,serius
pryk,proyek
kouta,kuota
munafiq,munafik
perancis,prancis
kobisa,kok bisa
yeh,ya
ngizinin,mengizinkan
nation,bangsa
ikl,iklan
modif,modifikasi
firaun,firaun
ancene,memang
milihnya,memilihnya
forever,selamanya
dirapihin,dirapikan
anjirt,wow
gaksi,tidak sih
cake,kue
tapiii,tapi
yeayy,hore
lov,cinta
anjggggg,anjing
nyantap,menyantap
lemparin,lemparkan
reborn,lahir kembali
bisnisin,bisniskan
conflict,konflik
udhlah,sudah lah
kowe,kamu
woiiii,hei
stresss,stres
ttng,tentang
diarahin,diarahkan
bedane,bedanya
ajuin,ajukan
wei,hei
uy,oi
aamiinn,amin
bre,kawan
window,jendela
production,produksi
acakadut,acak acakan
bekalin,bekali
gamauu,tidak mau
butter,mentega
dinotice,diperhatikan
brantas,berantas
wkwkwkkwkw,tertawa
awkwkw,tertawa
keitung,terhitung
yey,hore
frustasi,frustrasi
direpack,dikemas ulang
bangey,banget
nyebarin,menyebarkan
dihold,ditahan
ngurusinnya,mengurusinya
pamil,pemilihan
utak,otak
commuter,komuter
rejekinya,rezekinya
oat,gandum
protest,protes
gemeter,gemetar
aleg,anggota legislatif
upss,ups
bisaaaa,bisa
berac,beras
feelingku,perasaanku
seller,penjual
gaesss,kawan
majuin,majukan
ketiplek,mirip
anonymous,anonim
huhuhuhu,menangis
yupi,permen yupi
hygine,higiene
buahny,buahnya
peace,damai
redacted,disensor
rasah,tidak usah
kaaaak,kak
ow,oh
naah,nah
promedia,promedia
lipi,lembaga ilmu pengetahuan indonesia
dibales,dibalas
nyemplung,masuk
slg,saling
supplynya,suplainya
brownies,bolu cokelat
supplyer,pemasok
gasabar,tidak sabar
reviewnya,ulasannya
callingan,panggilan
luuu,kamu
managemen,manajemen
fucked,kacau
doangg,doang
laahh,lah
sepong,penjilat
menganalisa,menganalisis
inpo,info
roko,rokok
trss,terus
other,lainnya
bucin,budak cinta
dsj,dan sejenisnya
twitt,cuitan
dicekokin,dicekoki
stoberi,stroberi
luhk,lho
ingfokan,infokan
nieh,nih
juk,petunjuk
satker,satuan kerja
lowker,lowongan kerja
dumb,bodoh
soalnye,soalnya
panganane,makanannya
december,desember
kretek,rokok kretek
kill,bunuh
lngsng,langsung
ngakakk,tertawa
overall,keseluruhan
syaa,saya
kolu,tega
dipress,ditekan
mnjaga,menjaga
dipakein,dipakaikan
iklas,ikhlas
mestine,mestinya
nggenah,benar
kayaaa,kaya
ratain,ratakan
due,punya
gofud,gofood
turn,giliran
joy,kegembiraan
targeted,target
dirayain,dirayakan
almost,hampir
stengah,setengah
oprasional,operasional
hayang,ingin
videoin,videokan
lgian,lagian
ngabdi,mengabdi
yeuu,ye
awkwk,tertawa
sooo,sangat
metong,mati
multiple,ganda
nguli,bekerja kuli
dimaem,dimakan
whoss,kereta cepat whoosh
apd,alat pelindung diri
mudhorotnya,mudaratnya
msak,masak
naruh,menaruh
uncle,paman
weekday,hari kerja
suamik,suamiku
ditangkepin,ditangkapi
piggy,babi
anjggg,anjing
charge,biaya
ngucap,mengucap
craving,mengidam
ndog,telur
ranking,peringkat
ngeberesin,membereskan
teaser,cuplikan
zupa,zuppa soup
ngap,bang
woooo,sorakan
coverage,cakupan
wta,tanya
plssss,mohon
skolh,sekolah
nate,pernah
dicobain,dicoba
working,bekerja
ringanin,ringankan
ditinggalin,ditinggalkan
leadership,kepemimpinan
busettt,buset
sertif,sertifikat
rbuan,ribuan
yeu,ye
execution,eksekusi
bd,bandung
eye,mata
wakaka,tertawa
overthinking,banyak pikiran
temp,sementara
cimory,susu cimory
spreadsheet,lembar sebar
soup,sup
bjil,bajingan
pride,kebanggaan
pusingin,pusingkan
sjatinya,sejatinya
ngr,negara
pudding,puding
generative,generatif
gaperna,tidak pernah
banbang,bambang
gurem,kurang terkenal
nyatu,menyatu
shif,sif
smth,sesuatu
unitsamapta,unit samapta
pontang,pontang panting
universe,semesta
berkwalitas,berkualitas
supplay,suplai
biscuit,biskuit
sounds,terdengar
sebrang,seberang
umumin,umumkan
ruqyah,rukyah
didiemin,didiamkan
noon,siang
salting,salah tingkah
unlimited,tak terbatas
keneh,masih
kuh,ku
muja,memuja
jingan,bajingan
guilt,rasa bersalah
anjenggg,anjing
stoppp,stop
duluuuu,dulu
fesnuk,facebook
gregetan,gemas
peler,bajingan
ahahaha,tertawa
disruptor,pengganggu
gakhabishabis,tidak habis habis
weird,aneh
luv,cinta
demandnya,permintaannya
yeaaay,hore
spaace,spasi
aaaa,ah
kerjasamanya,kerja samanya
ty,terima kasih
amak,ibu
pwt,purwokerto
nyantol,tersangkut
curhatan,curahan hati
tpura,jayapura
paccerakkang,paccerakkang
ver,versi
hygienis,higienis
hood,lingkungan
glows,bersinar
akt,angkatan
chart,grafik
dululah,dulu lah
selese,selesai
photo,foto
dw,jangan khawatir
kroscek,periksa ulang
anjrr,wow
masyallah,masya allah
muasin,memuaskan
fancon,konser penggemar
nimbun,menimbun
pler,bajingan
surprise,kejutan
requestnya,permintaannya
perks,keuntungan
keywordnya,kata kuncinya
manyun,cemberut
nggarap,menggarap
sebenrnya,sebenarnya
bitter,pahit
aprebi,asosiasi produsen energi baru terbarukan indonesia
sekolh,sekolah
doy,dia
angggaran,anggaran
keur,lagi
kbnyakan,kebanyakan
daritadi,dari tadi
omah,rumah
longor,bodoh
makes,masuk akal
repack,kemas ulang
onty,tante
ngajakin,mengajak
sdikit,sedikit
mnu,menu
ipad,ipad
hapsun,hari minggu bahagia
works,berhasil
mka,maka
sjak,sejak
nemen,keterlaluan
smartboard,papan tulis pintar
bejirrr,wow
anjerrr,wow
maker,pembuat
sipaling,si paling
ngan,dengan
everyone,semuanya
morotai,morotai
badjingan,bajingan
bowl,mangkuk
anjgggggg,anjing
xmas,natal
woo,wah
awww,aw
underpaid,dibayar rendah
pya,punya
paska,pasca
miracle,keajaiban
kaitanya,kaitannya
bxc,bintaro xchange
beach,pantai
keychain,gantungan kunci
coturnix,burung puyuh
bugel,bugel
noise,gangguan
inalillahi,inna lillahi
period,titik
imip,indonesia morowali industrial park
cimuning,cimuning
atp,alur tujuan pembelajaran
mbti,tipe kepribadian
sumpa,sumpah
bgsd,kurang ajar
bangkeee,sialan
mabog,mabuk
becana,bencana
deforestation,deforestasi
anyingggg,anjing
tukeran,tukaran
oiyaa,oh iya
goverment,pemerintah
kcg,kacang
nihayatul,nihayatul wafiroh
wafiroh,nihayatul wafiroh
logging,penebangan liar
rudiyanto,rudiyanto
luw,lu
gaak,tidak
water,air
dytd,dari yang terdalam
sulsul,sulawesi selatan
dipamerin,dipamerkan
reseller,penjual ulang
manggul,memanggul
mima,minuman manis
sold,terjual
bh,kutang
teenager,remaja
taiii,tahi
kelindes,terlindas
chip,keripik
overclaim,klaim berlebihan
umalulu,umalulu
original,asli
wewillwin,kita akan menang
sruh,suruh
holiday,liburan
priawan,indra priawan
covernya,sampulnya
merry,selamat
gayo,gayo
qs,quran surat
ngedrop,menurun
masjidil,masjidil
tifu,tipu
latte,kopi susu
maning,lagi
foodestate,lumbung pangan
kueh,kue
bathin,batin
emakku,ibuku
kaitin,kaitkan
ngutik,mengutik
kompastv,kompas tv
solvingnya,solusinya
eeeh,eh
iyee,iya
lks,lembar kerja siswa
murahin,murahkan
read,baca
sambalado,sambal balado
lihatin,melihat
lemhanas,lembaga ketahanan nasional
jobdesknya,tugasnya
hedeh,aduh
lowbatt,lemah baterai
killer,galak
influence,pengaruh
jenenge,namanya
artificial,buatan
intelligence,kecerdasan
kawatir,khawatir
feel,rasa
edible,bisa dimakan
uneg,unek unek
nb,catatan
grass,rumput
dsbnya,dan sebagainya
talks,pembicaraan
mempublish,mempublikasikan
glad,senang
squid,cumi cumi
nuget,nugget
flashback,kilas balik
arum,harum
ariotedjo,dito ariotedjo
possible,mungkin
outcomenya,hasilnya
brekele,kacau
dikomentarin,dikomentari
dikdasmen,pendidikan dasar dan menengah
yogurt,yoghurt
unexpected,tidak terduga
creamy,lembut
okk,oke
jhon,jon
ndelok,melihat
nyapu,menyapu
samudera,samudra
konek,terhubung
ditangkep,ditangkap
gengss,geng
bergiziii,bergizi
yuhuu,halo
cuss,ayo
guysss,kawan
xv,lima belas
yamg,yang
indoor,dalam ruangan
pelaksanan,pelaksanaan
dipacking,dikemas
spicy,pedas
oy,hei
joyful,gembira
afghanistan,afganistan
moms,ibu ibu
meyediakan,menyediakan
hum,gumam
innova,mobil innova
bkpm,badan koordinasi penanaman modal
soko,dari
rapopo,tidak apa apa
cocotmu,mulutmu
tjsl,tanggung jawab sosial dan lingkungan
dibully,dirundung
untik,untuk
takon,tanya
selsai,selesai
cangkem,mulut
nganggap,menganggap
talangin,talangi
slrh,seluruh
champions,juara
ngedabrus,omong kosong
kahhh,kah
anjirrrrr,wow
tapera,tabungan perumahan rakyat
lamtim,lampung timur
allaah,allah
nanggroe,negeri
ngrepoti,merepotkan
mengcover,menanggung
fixed,pasti
banisampah,kelompok sampah
malakin,memalak
kluarganya,keluarganya
kanim,kantor imigrasi
semeton,saudara
rempang,pulau rempang
ngehubungin,menghubungi
doooong,dong
anjeeeeng,anjing
purpose,tujuan
dzolimnya,zalimnya
bim,bimbingan
palkon,bajingan
wedi,takut
unpopular,tidak populer
brti,berarti
cebokin,ceboki
storynya,ceritanya
diwujudin,diwujudkan
healthier,lebih sehat
supporting,mendukung
lhaa,lha
proliga,liga profesional
snak,makanan ringan
corporate,korporasi
pray,berdoa
hgb,hak guna bangunan
sppd,surat perintah perjalanan dinas
dapu,dapur
disurvey,disurvei
manaaaa,mana
planning,perencanaan
wuih,wah
binluh,pembinaan dan penyuluhan
kmbli,kembali
owe,saya
ninjau,meninjau
pasiter,perwira seksi teritorial
pertanyaanya,pertanyaannya
perez,palsu
vlogger,vlogger
untuj,untuk
nestl,nestle
alhamdullilah,alhamdulillah
misale,misalnya
rapimnas,rapat pimpinan nasional
pira,berapa
apocalyptic,apokaliptik
animal,binatang
dipakek,dipakai
usaj,usai
toples,stoples
sukurin,syukurin
gamampu,tidak mampu
bulshit,omong kosong
backburner,cadangan
pidsus,pidana khusus
kordinator,koordinator
moderen,modern
ancrit,wow
mlebu,masuk
roeslani,rosan roeslani
pltu,pembangkit listrik tenaga uap
priotas,prioritas
istg,demi tuhan
danpos,komandan pos
delulu,delusi
fulan,si fulan
french,prancis
menghayal,mengkhayal
peng,ingin
ngerujak,merundung
pamtas,pengamanan perbatasan
png,papua nugini
wamendes,wakil menteri desa
vidcon,konferensi video
baksos,bakti sosial
unnecessary,tidak perlu
ngehentiin,menghentikan
prisidin,presiden
skl,standar kompetensi lulusan
klh,kementerian lingkungan hidup
buzzerrp,pendengung bayaran
sembunyiin,sembunyikan
crypto,kripto
screenshot,tangkapan layar
raker,rapat kerja
dihilangin,dihilangkan
setpres,sekretariat presiden
poya,foya
ketrima,diterima
ub,universitas brawijaya
bwang,bang
motongin,memotongi
sygnya,sayangnya
ngehidupin,menghidupkan
udab,sudah
dikti,pendidikan tinggi
sponsored,disponsori
satbrimob,satuan brimob
sambo,ferdy sambo
run,lari
ceremonial,seremonial
stuban,studi banding
realtime,waktu nyata
gedabrus,omong kosong
muakkk,muak
kemensetneg,kementerian sekretariat negara
scary,menakutkan
gamasalah,tidak masalah
ditampol,ditampar
stories,cerita
narikin,menarik
direnov,direnovasi
bsn,badan standardisasi nasional
provider,penyedia
nurutin,menuruti
jadul,jaman dulu
dikecilin,dikecilkan
wkwkwkwkwkw,tertawa
generai,generasi
asuuuuuu,anjing
digoblokin,dibodohi
cannot,tidak bisa
ngehasilin,menghasilkan
aspol,asrama polisi
paaaak,pak
nyett,monyet
ortunye,orang tuanya
nyalonin,mencalonkan
eu,uni eropa
parents,orang tua
knowledge,pengetahuan
atmin,admin
pekerjaaan,pekerjaan
noooo,tidak
septic,septik
ktk,ketika
dubai,dubai
unud,universitas udayana
sicc,sentul international convention center
beritahu,beri tahu
ethiopia,ethiopia
hariqo,hariqo wibawa satria
west,barat
ptpp,pt pp
pebruari,februari
sbd,sumba barat daya
perjuangin,perjuangkan
eehh,eh
tholol,tolol
sibotak,si botak
teatrikal,teatrikal
dinegri,di negeri
baitul,baitul
somad,abdul somad
dicancel,dibatalkan
extraordinary,luar biasa
smpi,sekolah menengah pertama islam
melaui,melalui
talent,bakat
academy,akademi
kwt,kuitansi
lhoh,lho
bismilah,bismillah
heheheh,tertawa
perjadin,perjalanan dinas
ireng,hitam
ratang,rantang
kedzoliman,kezaliman
nasiona,nasional
akpol,akademi kepolisian
mkg,makan bergizi
tapiiii,tapi
pemdes,pemerintah desa
nombokin,menomboki
prorakyat,pro rakyat
command,komando
yt,youtube
musk,elon musk
sovereign,berdaulat
monthly,bulanan
dicuekin,diacuhkan
pangen,ingin
bumdesa,badan usaha milik desa
dibagusin,dibaguskan
mbahas,membahas
ranch,peternakan
shingga,sehingga
trading,perdagangan
qadar,kadar
psht,persaudaraan setia hati terate
revisiruutni,revisi ruu tni
football,sepak bola
wwkwk,tertawa
pbd,papua barat daya
uteke,otaknya
rabb,tuhan
besyukur,bersyukur
lnjutkn,lanjutkan
therapy,terapi
paper,makalah
ruupolri,ruu polri
mndapatkan,mendapatkan
ame,sama
fk,fakultas kedokteran
evidence,bukti
pemerinth,pemerintah
gabakalan,tidak akan
apaansi,apa sih
flow,alur
goat,terbaik sepanjang masa
duitna,duitnya
dikaitin,dikaitkan
tarrif,tarif
maintenance,pemeliharaan
kuatin,kuatkan
mudeng,paham
jokowiii,joko widodo
kentel,kental
inshaallah,insyaallah
mndapatkn,mendapatkan
mndorong,mendorong
stuting,stunting
late,terlambat
pndidikan,pendidikan
traditional,tradisional
java,jawa
mixed,campur
limited,terbatas
teryata,ternyata
boarding,asrama
tekhnologi,teknologi
sector,sektor
merch,suvenir
gnerasi,generasi
psu,pemungutan suara ulang
ngunyah,mengunyah
nangisin,tangisi
bib,habib
tolollllll,tolol
ngehate,membenci
merupakn,merupakan
kebutuhn,kebutuhan
sosialiasi,sosialisasi
jica,japan international cooperation agency
lindungin,lindungi
bapaknye,bapaknya
gerina,gerindra
ppsu,penanganan prasarana dan sarana umum
pergub,peraturan gubernur
babinpotdirga,bintara pembina potensi dirgantara
sgera,segera
stndar,standar
path,jalur
korpri,korps pegawai republik indonesia
mbz,mohammed bin zayed
tgr,tangerang
kiss,cium
negotiable,bisa dinegosiasi
premier,perdana
dimane,di mana
gabaik,tidak baik
kayane,kayaknya
warriors,pejuang
ngawang,mengawang
menurunkn,menurunkan
nethink,berprasangka buruk
diluncurkn,diluncurkan
madhang,makan
asupn,asupan
engko,nanti
ngarti,mengerti
halunya,halusinasinya
restonya,restorannya
adb,asian development bank
pagiiiii,pagi
release,rilis
relationship,hubungan
peogram,program
jkn,jaminan kesehatan nasional
cuanki,cuanki
bnn,badan narkotika nasional
hahaa,tertawa
diplintir,dipelintir
kesehatn,kesehatan
hlow,halo
siaph,siap
nyemangatin,menyemangati
villains,penjahat
islamiyah,islamiyah
laksananan,pelaksanaan
vokasi,vokasi
trantib,ketenteraman dan ketertiban
ksejahteraan,kesejahteraan
cab,cabut
poktan,kelompok tani
gbk,gelora bung karno
mantull,mantap betul
botram,makan bersama
unhan,universitas pertahanan
jngka,jangka
trantibum,ketenteraman dan ketertiban umum
antarlembaga,antarlembaga
pancen,memang
mouvement,gerakan
france,prancis
apakh,apakah
kemane,ke mana
bioavtur,bioavtur
mks,terima kasih
ajaaaaa,saja
fvck,sialan
bpak,bapak
wako,wali kota
deym,sialan
fas,fasilitas
melaksankan,melaksanakan
percoyo,percaya
harapn,harapan
maniez,manis
yontarlat,batalyon taruna latihan
mangkin,makin
busway,transjakarta
tuo,tua
ttapi,tetapi
published,dipublikasikan
wahabi,wahabi
mnghadirkan,menghadirkan
makana,makanan
overworked,kerja berlebihan
fansnya,penggemarnya
psc,pusat keselamatan publik
kabupeten,kabupaten
size,ukuran
slma,selama
msing,masing
ngaturnya,mengaturnya
tngah,tengah
launch,peluncuran
sekdakab,sekretaris daerah kabupaten
bpmsph,balai pengujian mutu dan sertifikasi produk hewan
haa,hah
grabfood,grabfood
implementatif,implementatif
beh,wah
duek,duit
direplikasi,direplikasi
kakakk,kakak
septik,septik
migunani,berguna
keliahatan,kelihatan
approve,setujui
blueprint,cetak biru
republika,republika
kpm,keluarga penerima manfaat
mio,motor mio
mih,mi
greenhouse,rumah kaca
hehehee,tertawa
ipekb,ikatan penyuluh keluarga berencana
maximal,maksimal
multisektor,multisektor
tailor,penjahit
tmt,terhitung mulai tanggal
tuwa,tua
ended,tamat
perumnas,perumahan nasional
fmmbg,forum masyarakat makan bergizi gratis
dkp,dinas kelautan dan perikanan
skck,surat keterangan catatan kepolisian
bskdn,badan strategi kebijakan dalam negeri
kinclong,mengilap
proportional,proporsional
swipe,geser
publish,publikasikan
qr,kode qr
orange,oranye
ortuku,orang tuaku
dibarengin,dibarengi
nib,nomor induk berusaha
raono,tidak ada
bintuni,teluk bintuni
oecd,organisasi kerja sama dan pembangunan ekonomi
tanggerang,tangerang
tutug,tutug oncom
accessible,dapat diakses
gamon,gagal move on
emangg,memang
hungkul,saja
bjirrrr,waduh
loss,rugi
topping,toping
glondongan,gelondongan
patty,daging burger
agt,anggota
pnbp,penerimaan negara bukan pajak
bhabin,bhabinkamtibmas
beltim,belitung timur
rei,real estat indonesia
mggu,minggu
mnikmati,menikmati
kasiwas,kepala seksi pengawasan
asupannya,asupannya
hallow,halo
ners,perawat
misalokasi,salah alokasi
diturutin,dituruti
widanarni,widanarni
helper,pembantu
glow,bersinar
hamengku,hamengkubuwono
buwono,hamengkubuwono
heu,aduh
tolerance,toleransi
ngikuti,mengikuti
grusu,terburu buru
cips,keripik
supercar,mobil super
disebutin,disebutkan
massif,masif
pancake,panekuk
kerac,keracunan
lppom,lembaga pengkajian pangan obat obatan dan kosmetika
menggangu,mengganggu
audensi,audiensi
smartfren,smartfren
ciamik,bagus sekali
ternyta,ternyata
client,klien
sehatin,sehatkan
lafi,lembaga farmasi
krueng,sungai
chatbot,chatbot
melakukanya,melakukannya
hinga,hingga
ath,rekor tertinggi
pocky,biskuit pocky
baduta,bawah dua tahun
bolee,boleh
anymore,lagi
tangah,tengah
blo,kawan
monitorng,monitoring
menghadirkn,menghadirkan
endonesah,indonesia
antirasuah,antikorupsi
uwes,sudah
tepar,terkapar
mbatin,membatin
mbr,masyarakat berpenghasilan rendah
kkprl,kesesuaian kegiatan pemanfaatan ruang laut
pastry,kue
jdikan,jadikan
marsda,marsekal muda
dpmptsp,dinas penanaman modal dan pelayanan terpadu satu pintu
pitik,ayam
kualtias,kualitas
husada,husada
ykk,iya kan
jogo,jaga
enemy,musuh
kpbs,koperasi peternak bandung selatan
menta,minta
idc,saya tidak peduli
guarantee,jaminan
dtang,datang
parent,orang tua
kot,kota
materai,meterai
ingpo,info
dadine,jadinya
wongtuane,orang tuanya
yato,ya kan
poh,wah
sarinah,sarinah
skm,susu kental manis
kasiyo,kasih ya
nyuksesin,menyukseskan
copy,salin
kapolsubsektor,kepala kepolisian subsektor
pendayagunaan,pendayagunaan
volatile,fluktuatif
tpt,tingkat pengangguran terbuka
skadar,sekadar
came,datang
grow,tumbuh
cant,tidak bisa
laugh,tertawa
perekenomian,perekonomian
install,instal
nguatin,menguatkan
pedofil,pedofil
jeans,celana jin
operating,operasi
duwur,tinggi
agribisnis,agribisnis
lembab,lembap
concept,konsep
diucapin,diucapkan
audacity,lancang
decade,dekade
lahhhh,lah
lndonesia,indonesia
cilembu,ubi cilembu
administration,administrasi
lag,lambat
nyelamatin,menyelamatkan
risma,tri rismaharini
unnie,kakak perempuan
pcnu,pengurus cabang nahdlatul ulama
petekonomian,perekonomian
mokad,mati
memsuksekan,menyukseskan
symphony,simfoni
thayyiban,tayiban
bahtsul,bahtsul
masail,masail
wrap,bungkus
kasatpel,kepala satuan pelaksana
flagship,unggulan
icu,unit perawatan intensif
ngerem,mengerem
belokin,belokkan
buh,bu
berdao,berdoa
toll,tol
jeut,boleh
mandum,semua
pliiss,mohon
ngana,kamu
ahirnya,akhirnya
bangasa,bangsa
pascabanjir,pascabanjir
audiens,audiens
reaktivasi,reaktivasi
actual,aktual
jakpus,jakarta pusat
brsm,bersama
gadget,gawai
ahir,akhir
fiction,fiksi
procurement,pengadaan
awokwokwok,tertawa
guis,kawan
seeker,pencari
loop,lingkaran
nooo,tidak
darting,darah tinggi
nett,bersih
kepiye,bagaimana
dietisien,ahli gizi
lkpp,lembaga kebijakan pengadaan barang jasa pemerintah
contract,kontrak
prihal,perihal
maksudnyaa,maksudnya
beberes,beres beres
cokkkk,sialan
ngepres,menekan
wkwkwkwkk,tertawa
danany,dananya
entry,entri
ketidaksukaan,ketidaksukaan
startup,perusahaan rintisan
revenue,pendapatan
wastenya,sampahnya
hariii,hari
tggi,tinggi
dudung,dudung abdurachman
anniv,ulang tahun
applicable,dapat diterapkan
tangung,tanggung
beloved,tercinta
found,temukan
picking,memilih
knows,tahu
fiscal,fiskal
jul,juli
proof,bukti
reality,realitas
totally,benar benar
kontruksi,konstruksi
frame,bingkai
somehow,entah bagaimana
mantengin,memantau
ngapunten,mohon maaf
prosentase,persentase
gabungin,gabungkan
ngantor,berkantor
peknas,pekan nasional
living,hidup
paksu,pak suami
sjw,pejuang keadilan sosial
biggest,terbesar
yall,kalian semua
meberikan,memberikan
click,klik
munculin,munculkan
nyerempet,menyerempet
suppliernya,pemasoknya
efisienshit,efisiensi omong kosong
nitizen,warganet
deliver,sampaikan
keg,kegiatan
budgeting,penganggaran
pulsek,pulang sekolah
isuk,pagi
hentiin,hentikan
mevvah,mewah
gramasi,gramasi
lmfao,tertawa
explain,jelaskan
wkkwkwkw,tertawa
kacauuu,kacau
everybody,semua orang
inituh,ini tuh
independent,independen
neolib,neoliberal
including,termasuk
experience,pengalaman
pakkkk,pak
disisihin,disisihkan
diharapakan,diharapkan
foodnya,makanannya
bijimana,bagaimana
unfoll,berhenti mengikuti
gasihh,tidak sih
fafifu,banyak bicara
nduttt,gendut
matek,mati
mnfaat,manfaat
lewatin,lewati
wkwkwwkwk,tertawa
gimanaaa,bagaimana
rasanyaa,rasanya
sngat,sangat
both,keduanya
mission,misi
success,sukses
solving,penyelesaian
nyelesaiin,menyelesaikan
dimention,disebut
tengtara,tentara
tanganin,tangani
fully,sepenuhnya
smoking,merokok
bejirr,wow
nganggo,pakai
satpol,satuan polisi
feasibility,kelayakan
grasak,grasak grusuk
grusuk,grasak grusuk
hemmm,gumam
outing,darmawisata
ngulitin,menguliti
ndablek,bebal
adut,acak
repnya,balasannya
beacukai,bea cukai
alo,halo
perintilan,pernak pernik
empathy,empati
latest,terbaru
ngehamburin,menghamburkan
digelontorin,digelontorkan
wkwkwkwkwkwkw,tertawa
attack,serang
incoming,masuk
pantengin,pantau
tote,tas jinjing
friendly,ramah
soalna,soalnya
mampet,tersumbat
totebag,tas jinjing
dijakarta,di jakarta
kingdom,kerajaan
marketplace,lokapasar
guah,saya
pemrov,pemerintah provinsi
sudara,saudara
indonesa,indonesia
ngundurin,mengundurkan
sambelnya,sambalnya
bendino,setiap hari
hmmmmmm,berpikir
ngliat,melihat
gedebug,gedebuk
pretttt,omong kosong
mspm,manajemen sistem penyelenggaraan makanan
tmnku,temanku
gepreknya,gepreknya
psk,pekerja seks komersial
snacknya,kudapannya
roasting,mengolok olok
hiperbola,berlebihan
dogshit,omong kosong
dibedain,dibedakan
kay,oke
bisikin,bisikkan
english,inggris
iykyk,jika kamu tahu
burden,beban
ngejokes,melucu
overlap,tumpang tindih
dzalimnya,zalimnya
huge,besar
grub,grup
dimusuhin,dimusuhi
monmaaf,mohon maaf
dilepehin,dilepehkan
trouble,masalah
bere,beri
mspmi,manajemen sistem penyelenggaraan makanan institusi
woilah,hei lah
tumblr,botol minum
captionnya,takarirnya
srius,serius
nimbulin,menimbulkan
malesin,memalaskan
kapabilitas,kapabilitas
amsiong,hancur
disgusting,menjijikkan
bijaks,bijak
ngebandingin,membandingkan
ditlp,ditelepon
chefnya,kokinya
steady,stabil
digeprek,digeprek
backgroundnya,latar belakangnya
menfess,pesan anonim
saladnya,saladnya
menjd,menjadi
dalah,adalah
anuin,lakukan
trjdi,terjadi
nyerobot,menyerobot
begtu,begitu
disamber,disambar
tep,tetap
klrg,keluarga
persiden,presiden
daput,dapur umum tni
ingatin,ingatkan
sukur,syukur
fihak,pihak
coi,kawan
jokodok,joko widodo
mutualku,teman daringku
ndlogok,tolol
boleeh,boleh
suarain,suarakan
jnn,jangan
afternya,setelahnya
blon,belum
perijinan,perizinan
nyabotase,menyabotase
upi,universitas pendidikan indonesia
riweh,ribet
mhn,mohon
intruksikan,instruksikan
omonganya,omongannya
fortuner,mobil fortuner
capcipcup,memilih sembarangan
ngopo,kenapa
major,besar
omelin,marahi
begiji,bergizi
tarkam,antar kampung
mubadzirnya,mubazirnya
passion,minat
berkarir,berkarier
tindaklanjuti,tindak lanjuti
smpnya,smp nya
oia,oh iya
misah,memisah
mbgannya,makan bergizi gratisnya
offtaker,penjamin pasar
parahhhh,parah
ptugas,petugas
kadus,kepala dusun
pinternya,pintarnya
dikonoha,di indonesia
buseettt,buset
alhamdulillaah,alhamdulillah
btl,betul
grombolan,gerombolan
mudorotnya,mudaratnya
kuatirnya,khawatirnya
ditiktok,di tiktok
babeh,bapak
caviar,kaviar
mndapat,mendapat
makananny,makanannya
makannn,makan
enihh,ini
brgantung,bergantung
kehigenisan,kehigienisan
etuk,dapat
berfikirnya,berpikirnya
udon,mi jepang
esih,masih
pripun,bagaimana
bnged,banget
horeee,hore
nalangin,menalangi
bntuk,bentuk
kantongin,kantongi
geloo,gila
raisin,kismis
ngefly,mabuk
catetan,catatan
change,ubah
anjrt,wow
kelarin,selesaikan
waduuh,waduh
ditunjukin,ditunjukkan
mikirr,mikir
deeptalk,pembicaraan mendalam
dianalisa,dianalisis
scientific,ilmiah
tuek,tua
prettt,omong kosong
comfort,nyaman
bonding,ikatan
sist,kak
menajdi,menjadi
awkwkwk,tertawa
peanut,kacang
ngolok,mengolok
ngisengin,mengisengi
indofood,indofood
jomblo,lajang
ndisik,dulu
tools,alat
carane,caranya
sunbaenim,senior
tiati,hati hati
tangible,nyata
